"Ebene";"EDV-Code";"Code";"Titel";"korrespondierende Ebene";"korrespondierender EDV-Code";"korrespondierender Code";"korrespondierender Titel";"Korrespondenz-Beschreibung"
5;"G46630";"G 46.63-0";"Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen";4;"G4663";"G 46.63";"Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen";""
5;"G46641";"G 46.64-1";"Großhandel mit Elektroinstallationsmaterial und Photovoltaikanlagen";4;"G4664";"G 46.64";"Großhandel mit sonstigen Maschinen und Ausrüstungen";""
5;"G46649";"G 46.64-9";"Großhandel mit sonstigen Maschinen und Ausrüstungen a.n.g.";4;"G4664";"G 46.64";"Großhandel mit sonstigen Maschinen und Ausrüstungen";""
5;"G46711";"G 46.71-1";"Großhandel mit Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger";4;"G4671";"G 46.71";"Großhandel mit Kraftwagen";""
5;"G46712";"G 46.71-2";"Großhandel mit Kraftwagen mit einem Gesamtgewicht von mehr als 3,5 t";4;"G4671";"G 46.71";"Großhandel mit Kraftwagen";""
5;"G46720";"G 46.72-0";"Großhandel mit Kraftwagenteilen und -zubehör";4;"G4672";"G 46.72";"Großhandel mit Kraftwagenteilen und -zubehör";""
5;"G46730";"G 46.73-0";"Großhandel mit Krafträdern, Kraftradteilen und -zubehör";4;"G4673";"G 46.73";"Großhandel mit Krafträdern, Kraftradteilen und -zubehör";""
5;"G46811";"G 46.81-1";"Großhandel mit festen Brennstoffen";4;"G4681";"G 46.81";"Großhandel mit Brennstoffen und Mineralölerzeugnissen";""
5;"G46812";"G 46.81-2";"Großhandel mit Mineralölerzeugnissen";4;"G4681";"G 46.81";"Großhandel mit Brennstoffen und Mineralölerzeugnissen";""
5;"G46821";"G 46.82-1";"Großhandel mit Erzen, Eisen, Stahl und Halbzeug";4;"G4682";"G 46.82";"Großhandel mit Erzen, Metallen und Metallhalbzeug";""
5;"G46822";"G 46.82-2";"Großhandel mit NE-Metallen und Halbzeug";4;"G4682";"G 46.82";"Großhandel mit Erzen, Metallen und Metallhalbzeug";""
5;"G46831";"G 46.83-1";"Großhandel mit Holz";4;"G4683";"G 46.83";"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärausstattung";""
5;"G46832";"G 46.83-2";"Großhandel mit Baustoffen und Sanitärkeramik";4;"G4683";"G 46.83";"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärausstattung";""
5;"G46833";"G 46.83-3";"Großhandel mit Flachglas, Anstrichmitteln, Tapeten und Bodenbelägen";4;"G4683";"G 46.83";"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärausstattung";""
5;"G46840";"G 46.84-0";"Großhandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung";4;"G4684";"G 46.84";"Großhandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung";""
5;"G46850";"G 46.85-0";"Großhandel mit chemischen Erzeugnissen";4;"G4685";"G 46.85";"Großhandel mit chemischen Erzeugnissen";""
5;"G46861";"G 46.86-1";"Großhandel mit Papier und Pappe";4;"G4686";"G 46.86";"Großhandel mit sonstigen Halbwaren";""
5;"G46869";"G 46.86-9";"Großhandel mit sonstigen Halbwaren a.n.g.";4;"G4686";"G 46.86";"Großhandel mit sonstigen Halbwaren";""
5;"G46870";"G 46.87-0";"Großhandel mit Altmaterialien und Reststoffen";4;"G4687";"G 46.87";"Großhandel mit Altmaterialien und Reststoffen";""
5;"G46890";"G 46.89-0";"Sonstiger Großhandel a.n.g.";4;"G4689";"G 46.89";"Sonstiger Großhandel a. n. g.";""
5;"G46900";"G 46.90-0";"Großhandel ohne ausgeprägten Schwerpunkt";4;"G4690";"G 46.90";"Großhandel ohne ausgeprägten Schwerpunkt";""
5;"G47110";"G 47.11-0";"Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel";4;"G4711";"G 47.11";"Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel";""
5;"G47120";"G 47.12-0";"Sonstiger Einzelhandel mit Waren verschiedener Art";4;"G4712";"G 47.12";"Sonstiger Einzelhandel mit Waren verschiedener Art";""
5;"G47210";"G 47.21-0";"Einzelhandel mit Obst, Gemüse und Kartoffeln";4;"G4721";"G 47.21";"Einzelhandel mit Obst, Gemüse und Kartoffeln";""
5;"G47220";"G 47.22-0";"Einzelhandel mit Fleisch und Fleischwaren";4;"G4722";"G 47.22";"Einzelhandel mit Fleisch und Fleischwaren";""
5;"G47230";"G 47.23-0";"Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen";4;"G4723";"G 47.23";"Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen";""
5;"G47240";"G 47.24-0";"Einzelhandel mit Back- und Süßwaren";4;"G4724";"G 47.24";"Einzelhandel mit Back- und Süßwaren";""
5;"G47250";"G 47.25-0";"Einzelhandel mit Getränken";4;"G4725";"G 47.25";"Einzelhandel mit Getränken";""
5;"G47260";"G 47.26-0";"Einzelhandel mit Tabakwaren";4;"G4726";"G 47.26";"Einzelhandel mit Tabakwaren";""
5;"G47270";"G 47.27-0";"Einzelhandel mit sonstigen Nahrungs- und Genussmitteln";4;"G4727";"G 47.27";"Einzelhandel mit sonstigen Nahrungs- und Genussmitteln";""
5;"G47300";"G 47.30-0";"Einzelhandel mit Motorenkraftstoffen";4;"G4730";"G 47.30";"Einzelhandel mit Motorenkraftstoffen";""
