"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"F4100";"F 41.00";"Construction of residential and non-residential buildings";""
5;"F41000";"F 41.00-0";"Construction of residential and non-residential buildings";""
2;"F42";"F 42";"Civil engineering";""
3;"F421";"F 42.1";"Construction of roads and railways";""
4;"F4211";"F 42.11";"Construction of roads and motorways";""
5;"F42110";"F 42.11-0";"Construction of roads and motorways";""
4;"F4212";"F 42.12";"Construction of railways and underground railways";""
5;"F42120";"F 42.12-0";"Construction of railways and underground railways";""
4;"F4213";"F 42.13";"Construction of bridges and tunnels";""
5;"F42131";"F 42.13-1";"Construction of bridges and elevated highways";""
5;"F42132";"F 42.13-2";"Construction of tunnels";""
3;"F422";"F 42.2";"Construction of utility projects";""
4;"F4221";"F 42.21";"Construction of utility projects for fluids";""
5;"F42210";"F 42.21-0";"Construction of utility projects for fluids";""
4;"F4222";"F 42.22";"Construction of utility projects for electricity and telecommunications";""
5;"F42220";"F 42.22-0";"Construction of utility projects for electricity and telecommunications";""
3;"F429";"F 42.9";"Construction of other civil engineering projects";""
4;"F4291";"F 42.91";"Construction of water projects";""
5;"F42910";"F 42.91-0";"Construction of water projects";""
4;"F4299";"F 42.99";"Construction of other civil engineering projects n.e.c.";""
5;"F42990";"F 42.99-0";"Construction of other civil engineering projects n.e.c.";""
2;"F43";"F 43";"Specialised construction activities";""
3;"F431";"F 43.1";"Demolition and site preparation";""
4;"F4311";"F 43.11";"Demolition";""
5;"F43110";"F 43.11-0";"Demolition";""
4;"F4312";"F 43.12";"Site preparation";""
5;"F43120";"F 43.12-0";"Site preparation";""
4;"F4313";"F 43.13";"Test drilling and boring";""
5;"F43130";"F 43.13-0";"Test drilling and boring";""
3;"F432";"F 43.2";"Electrical, plumbing and other construction installation activities";""
4;"F4321";"F 43.21";"Electrical installation";""
5;"F43211";"F 43.21-1";"Installation of photovoltaic systems";""
5;"F43219";"F 43.21-9";"Other electrical installation";""
4;"F4322";"F 43.22";"Plumbing, heat and air-conditioning installation";""
5;"F43220";"F 43.22-0";"Plumbing, heat and air-conditioning installation";""
4;"F4323";"F 43.23";"Installation of insulation";""
5;"F43230";"F 43.23-0";"Installation of insulation";""
4;"F4324";"F 43.24";"Other construction installation";""
5;"F43240";"F 43.24-0";"Other construction installation";""
3;"F433";"F 43.3";"Building completion and finishing";""
4;"F4331";"F 43.31";"Plastering";""
5;"F43310";"F 43.31-0";"Plastering";""
4;"F4332";"F 43.32";"Joinery installation";""
5;"F43321";"F 43.32-1";"Wood joinery installation";""
5;"F43322";"F 43.32-2";"Metal joinery installation";""
4;"F4333";"F 43.33";"Floor and wall covering";""
5;"F43331";"F 43.33-1";"Floor covering work";""
5;"F43332";"F 43.33-2";"Tile laying work";""
5;"F43333";"F 43.33-3";"Paper-hanger";""
5;"F43334";"F 43.33-4";"Stove-fitter";""
4;"F4334";"F 43.34";"Painting and glazing";""
5;"F43341";"F 43.34-1";"Painting";""
5;"F43342";"F 43.34-2";"Glazing";""
4;"F4335";"F 43.35";"Other building completion and finishing";""
5;"F43350";"F 43.35-0";"Other building completion and finishing";""
3;"F434";"F 43.4";"Specialised construction activities in construction of buildings";""
4;"F4341";"F 43.41";"Roofing activities";""
5;"F43411";"F 43.41-1";"Roof covering";""
5;"F43412";"F 43.41-2";"Erection of wooden roofs and frames";""
5;"F43413";"F 43.41-3";"Tinsmiths";""
5;"F43414";"F 43.41-4";"Proofing of roofs";""
4;"F4342";"F 43.42";"Other specialised construction activities in construction of buildings";""
5;"F43420";"F 43.42-0";"Other specialised construction activities in construction of buildings";""
3;"F435";"F 43.5";"Specialised construction activities in civil engineering";""
4;"F4350";"F 43.50";"Specialised construction activities in civil engineering";""
5;"F43500";"F 43.50-0";"Specialised construction activities in civil engineering";""
3;"F436";"F 43.6";"Intermediation service activities for specialised construction services";""
4;"F4360";"F 43.60";"Intermediation service activities for specialised construction services";""
5;"F43600";"F 43.60-0";"Intermediation service activities for specialised construction services";""
3;"F439";"F 43.9";"Other specialised construction activities";""
4;"F4391";"F 43.91";"Masonry and bricklaying activities";""
5;"F43910";"F 43.91-0";"Masonry and bricklaying activities";""
4;"F4399";"F 43.99";"Other specialised construction activities n.e.c.";""
5;"F43990";"F 43.99-0";"Other specialised construction activities n.e.c.";""
1;"G";"G";"WHOLESALE AND RETAIL TRADE";""
2;"G46";"G 46";"Wholesale trade";""
3;"G461";"G 46.1";"Wholesale on a fee or contract basis";""
4;"G4611";"G 46.11";"Activities of agents involved in the wholesale of agricultural raw materials, live animals, textile raw materials and semi-finished goods";""
5;"G46110";"G 46.11-0";"Activities of agents involved in the wholesale of agricultural raw materials, live animals, textile raw materials and semi-finished goods";""
4;"G4612";"G 46.12";"Activities of agents involved in the wholesale of fuels, ores, metals and industrial chemicals";""
5;"G46120";"G 46.12-0";"Activities of agents involved in the wholesale of fuels, ores, metals and industrial chemicals";""
4;"G4613";"G 46.13";"Activities of agents involved in the wholesale of timber and building materials";""
5;"G46130";"G 46.13-0";"Activities of agents involved in the wholesale of timber and building materials";""
4;"G4614";"G 46.14";"Activities of agents involved in the wholesale of machinery, industrial equipment, ships and aircraft";""
5;"G46140";"G 46.14-0";"Activities of agents involved in the wholesale of machinery, industrial equipment, ships and aircraft";""
4;"G4615";"G 46.15";"Activities of agents involved in the wholesale of furniture, household goods, hardware and ironmongery";""
5;"G46150";"G 46.15-0";"Activities of agents involved in the wholesale of furniture, household goods, hardware and ironmongery";""
4;"G4616";"G 46.16";"Activities of agents involved in the wholesale of textiles, clothing, fur, footwear and leather goods";""
5;"G46160";"G 46.16-0";"Activities of agents involved in the wholesale of textiles, clothing, fur, footwear and leather goods";""
4;"G4617";"G 46.17";"Activities of agents involved in the wholesale of food, beverages and tobacco";""
5;"G46170";"G 46.17-0";"Activities of agents involved in the wholesale of food, beverages and tobacco";""
4;"G4618";"G 46.18";"Activities of agents involved in the wholesale of other particular products";""
5;"G46180";"G 46.18-0";"Activities of agents involved in the wholesale of other particular products";""
4;"G4619";"G 46.19";"Activities of agents involved in non-specialised wholesale";""
5;"G46190";"G 46.19-0";"Activities of agents involved in non-specialised wholesale";""
3;"G462";"G 46.2";"Wholesale of agricultural raw materials and live animals";""
4;"G4621";"G 46.21";"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds";""
5;"G46210";"G 46.21-0";"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds";""
4;"G4622";"G 46.22";"Wholesale of flowers and plants";""
5;"G46220";"G 46.22-0";"Wholesale of flowers and plants";""
4;"G4623";"G 46.23";"Wholesale of live animals";""
5;"G46230";"G 46.23-0";"Wholesale of live animals";""
4;"G4624";"G 46.24";"Wholesale of hides, skins and leather";""
5;"G46240";"G 46.24-0";"Wholesale of hides, skins and leather";""
3;"G463";"G 46.3";"Wholesale of food, beverages and tobacco";""
4;"G4631";"G 46.31";"Wholesale of fruit and vegetables";""
5;"G46310";"G 46.31-0";"Wholesale of fruit and vegetables";""
4;"G4632";"G 46.32";"Wholesale of meat, meat products, fish and fish products";""
5;"G46320";"G 46.32-0";"Wholesale of meat, meat products, fish and fish products";""
4;"G4633";"G 46.33";"Wholesale of dairy products, eggs and edible oils and fats";""
5;"G46330";"G 46.33-0";"Wholesale of dairy products, eggs and edible oils and fats";""
4;"G4634";"G 46.34";"Wholesale of beverages";""
5;"G46341";"G 46.34-1";"Wholesale of wine and liquors";""
5;"G46349";"G 46.34-9";"Wholesale of other beverages";""
